                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                      0,                      0,                0.00335,                   0.78,                0.02584,                0.00879,                      0,                 222.25,                      0,              3.333e-05,              3.333e-05,              3.333e-05
                      2,                      0,                      0,                      0,                0.00405,                   0.78,                0.02251,                0.00562,                      0,                 222.25,                      0,              7.623e-05,              7.623e-05,              7.623e-05
                      3,                      0,                      0,                      0,                 0.0057,                   0.84,                0.01223,                0.00499,                      0,                 221.25,                      0,             0.00011737,             0.00011737,             0.00011737
                      4,                      0,                      0,                      0,                0.00942,                   0.88,                0.02059,                0.00635,                      0,                 219.38,                      0,             0.00015675,             0.00015675,             0.00015675
                      5,                      0,                      0,                      0,                0.01363,                   0.96,                0.03024,                0.00756,                      0,                 217.88,                      0,             0.00019437,             0.00019437,             0.00019437
                      6,                      0,                      0,                      0,                0.00723,                    0.8,                0.02757,                0.00769,                      0,                 216.62,                      0,             0.00023023,             0.00023023,             0.00023023
                      7,                      0,                 9.3753,                      0,                0.01082,                   0.88,                0.03872,                0.00823,                      0,                 216.38,                      0,             0.00026433,             0.00026433,             0.00026433
                      8,                      0,                      0,                      0,                0.00732,                   0.84,                0.02935,                0.00697,                      0,                 214.88,                      0,             0.00029667,             0.00029667,             0.00029667
                      9,                      0,                      0,                      0,                0.00631,                   0.88,                0.02793,                 0.0048,                      0,                  212.5,                      0,             0.00032726,             0.00032726,             0.00032726
                     10,                      0,                      0,                      0,                0.00455,                   0.88,                0.02697,                0.00562,                      0,                 206.38,                      0,             0.00035608,             0.00035608,             0.00035608
